"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*05qzh*","Naji Marshall","DAL","SF,PF,F,Flx","135","FA","TOR Sun 6:30PM","78","27","269.7","26%","+26.5%","22","34.0","7.2","13.7",".528","2.7","3.5",".776","0.8","6.1","3.9","1.2","0.2","2.1","18.0"
"*06ccf*","Ausar Thompson","DET","SF,PF,F,Flx","161","booty","BOS Sun 2:30PM","77.56","100","78.5","99%","+99.1%","22","24.6","4.5","8.9",".510","2.0","2.7",".717","0.2","5.5","2.4","1.4","1.0","1.3","11.2"
"*0623a*","Scotty Pippen","MEM","PG,G,Flx","99","WIN","","77.54","93","166.9","56%","+56.2%","22","24.6","4.3","8.5",".500","1.8","2.3",".784","1.5","3.5","4.7","1.6","0.5","1.7","11.9"
"*027p0*","Nikola Vucevic","CHI","C,Flx","24","WIN","","77.45","100","46.8","100%","+99.8%","17","28.2","6.6","12.8",".518","1.3","1.7",".759","1.8","9.4","3.9","0.7","0.9","1.4","16.4"
"*03ajv*","Julius Randle","MIN","PF,F,Flx","79","Superswa","IND Sun 6:00PM","77.34","100","55.5","99%","+99.4%","21","31.5","6.6","12.7",".523","3.2","4.1",".791","1.8","6.8","5.2","0.6","0.2","2.9","18.2"
"*02nf7*","Harrison Barnes","SA","SF,PF,F,Flx","87","FA","BKN Sun 1:00PM","77.21","32","262.2","27%","+26.6%","25","26.2","4.9","9.0",".549","1.9","2.2",".839","2.5","3.1","1.4","0.8","0.1","0.8","14.2"
"*02xg9*","Rudy Gobert","MIN","C,Flx","72","WIN","IND Sun 6:00PM","77","100","64.2","99%","+98.5%","17","32.8","6.2","8.8",".707","2.9","4.5",".658","0.0","12.5","1.5","1.1","1.1","0.8","15.4"
"*05uib*","Cade Cunningham","DET","PG,SG,G,Flx","12","herb","BOS Sun 2:30PM","76.71","100","6.8","100%","+99.9%","16","33.5","10.4","20.7",".505","5.3","6.4",".833","1.5","5.4","7.9","1.1","0.8","4.4","27.7"
"*03nwm*","Devin Booker","PHO","PG,SG,G,SF,F,Flx","40","Benny","","76.41","100","11.6","99%","+99.4%","22","37.2","8.7","18.4",".474","4.6","5.2",".886","1.9","4.1","7.5","0.5","0.1","3.4","23.9"
"*05uii*","Franz Wagner","ORL","SF,PF,F,Flx","60","BOT","","76.27","100","38.4","100%","+99.8%","19","34.7","8.5","18.7",".452","4.1","4.4",".928","1.4","5.9","4.5","0.9","0.2","2.3","22.4"
"*06213*","Keegan Murray","SAC","PF,F,Flx","52","herb","LAL Sun 8:00PM","75.99","100","114.2","94%","+94.2%","21","33.3","5.0","10.9",".454","0.5","0.6",".917","2.4","5.9","1.4","0.7","1.0","0.6","12.8"
