"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*01eon*","DeMar DeRozan","SAC","SF,F,Flx","54","Slovenia","LAL Sun 8:00PM","66.22","100","58.2","100%","+99.5%","2","37.0","7.5","13.0",".577","2.5","5.0",".500","0.5","4.5","7.5","2.0","0.5","1.0","18.0"
"*05uid*","Evan Mobley","CLE","PF,F,C,Flx","55","BOT","MIL Sun 5:00PM","65.85","100","19.6","100%","+99.7%","2","35.1","6.5","15.0",".433","2.0","4.5",".444","2.5","8.0","4.0","1.5","1.5","3.0","17.5"
"*0621l*","Walker Kessler","UTA","C,Flx","56","booty","","65.59","100","105.2","99%","+98.9%","2","29.2","4.0","4.0","1.000","3.5","5.0",".700","1.0","9.0","3.0","2.5","2.0","3.5","12.5"
"*05uir*","Trey Murphy","NO","SF,PF,F,Flx","57","booty","","65.05","100","50.5","100%","+99.5%","2","38.9","7.0","16.5",".424","2.5","2.5","1.000","2.0","8.5","4.0","1.5","0.0","1.0","18.5"
"*06mka*","Tristan da Silva","ORL","SF,PF,F,Flx","58","FA","","64.92","13","285.2","34%","+34.4%","3","22.1","4.3","9.7",".448","2.7","3.3",".800","1.7","3.3","1.3","1.0","0.3","0.7","13.0"
"*04ewn*","OG Anunoby","NY","SF,PF,F,Flx","59","GAS","@MIA Sun 5:00PM","64.29","100","66.6","99%","+98.6%","2","33.3","6.0","13.5",".444","2.0","3.0",".667","3.0","8.0","1.5","2.5","0.5","2.5","17.0"
"*04qrn*","Mikal Bridges","NY","SG,G,SF,PF,F,Flx","60","Superswa","@MIA Sun 5:00PM","63.86","100","65.9","100%","+99.8%","2","34.6","5.5","10.5",".524","1.5","1.5","1.000","1.5","5.5","4.0","2.5","1.5","1.0","14.0"
"*05qtj*","Deni Avdija","POR","SG,G,SF,PF,F,Flx","61","SMAC777","@LAC Sun 8:00PM","63.69","100","44.2","100%","+99.8%","2","31.2","8.5","17.0",".500","4.0","5.0",".800","2.0","6.0","3.5","0.0","0.5","2.5","23.0"
"*05uj1*","Cameron Thomas","BKN","SG,G,SF,F,Flx","62","BOT","BKN 11<br/>@SA 5","63.61","100","82.8","100%","+99.5%","3","21.0","5.7","12.7",".447","5.7","6.3",".895","1.0","1.0","3.7","0.0","0.3","1.7","18.0"
"*031lv*","Kentavious Caldwell-Pope","MEM","SG,G,SF,F,Flx","63","W <small>(Tue)</small>","","63.4","39","255.8","43%","+43.5%","3","25.7","2.3","8.3",".280","4.3","4.7",".929","1.7","3.7","4.7","1.0","0.0","2.0","10.7"
"*05uig*","Josh Giddey","CHI","PG,SG,G,Flx","64","Benny","","63.02","100","23.8","100%","+99.9%","2","30.4","6.0","15.0",".400","6.5","8.5",".765","1.5","6.5","7.0","0.5","0.5","4.0","20.0"
"*04qrl*","Wendell Carter","ORL","C,Flx","65","Benny","","62.78","98","159.9","77%","+76.7%","3","30.5","1.7","5.3",".313","5.3","7.3",".727","0.3","9.7","1.3","1.3","0.3","2.0","9.0"
"*04ex6*","Isaiah Hartenstein","OKC","C,Flx","66","Universa","","62.56","100","90.7","98%","+97.8%","3","34.3","3.7","7.3",".500","1.0","2.0",".500","0.0","10.7","3.0","1.3","0.0","1.7","8.3"
"*06cd4*","Toumani Camara","POR","PF,F,Flx","67","booty","@LAC Sun 8:00PM","61.36","100","97.8","97%","+96.7%","2","33.7","5.0","11.0",".455","2.0","2.0","1.000","2.5","8.0","3.5","1.5","0.0","0.5","14.5"
"*05qu9*","Immanuel Quickley","TOR","PG,G,Flx","68","Benny","@DAL Sun 6:30PM","61.26","100","73.4","99%","+98.7%","2","32.6","5.5","13.0",".423","4.5","7.0",".643","0.5","5.5","8.0","1.5","0.0","2.5","16.0"
"*05qtq*","Tre Jones","CHI","PG,G,Flx","69","Benny","","61.2","20","274.7","51%","+51.3%","2","30.3","4.0","7.5",".533","3.5","5.0",".700","1.0","3.0","8.0","4.0","0.0","2.5","12.5"
"*05ujt*","Aaron Wiggins","OKC","SG,G,SF,F,Flx","70","FA","","61.09","44","249.2","51%","+51.2%","3","27.8","5.0","11.0",".455","1.3","1.3","1.000","2.7","5.0","1.0","0.0","0.3","1.0","14.0"
"*042n1*","Brandon Ingram","TOR","SF,PF,F,Flx","71","Universa","@DAL Sun 6:30PM","60.97","100","73.3","98%","+98.2%","2","32.1","8.5","18.0",".472","4.0","5.0",".800","1.5","7.5","3.0","1.0","0.5","4.5","22.5"
"*04qrm*","Collin Sexton","CHA","PG,SG,G,Flx","72","herb","@WAS Sun 5:00PM","60.81","100","119.2","92%","+91.8%","2","23.6","5.5","11.0",".500","5.0","6.5",".769","2.0","1.5","5.0","1.0","0.0","1.0","18.0"
"*049kc*","Malik Monk","SAC","PG,SG,G,Flx","73","BOT","LAL Sun 8:00PM","60.8","100","117.5","93%","+93.1%","2","24.1","7.0","13.5",".519","1.0","1.0","1.000","4.5","1.0","2.5","1.0","1.0","0.5","19.5"
"*05qtb*","Sam Merrill","CLE","SG,G,Flx","74","FA","MIL Sun 5:00PM","60.65","6","289.4","26%","+26.4%","2","27.4","6.0","11.0",".545","3.0","3.0","1.000","5.5","2.0","3.0","0.5","0.5","2.5","20.5"
"*04qrr*","Michael Porter","BKN","SF,PF,F,Flx","75","herb","BKN 11<br/>@SA 5","60.44","100","66.8","99%","+98.7%","3","22.0","6.0","12.7",".474","0.3","1.0",".333","2.3","4.7","3.0","1.0","0.0","0.7","14.7"
